month,day,date,country,cumulative_number_of_case,number_of_death,number_recovered,current_case
4,2,2-Apr,China,1898,62,0,1836
4,2,2-Apr,Taiwan,13,0,0,13
4,2,2-Apr,France,1,0,0,1
4,2,2-Apr,Germany,5,0,0,5
4,2,2-Apr,Italy,3,0,0,3
4,2,2-Apr,Republic of Ireland,2,0,0,2
4,2,2-Apr,Romania,3,0,0,3
4,2,2-Apr,Singapore,95,4,0,91
4,2,2-Apr,Spain,1,0,0,1
4,2,2-Apr,Switzerland,2,0,0,2
4,2,2-Apr,Thailand,7,2,0,5
4,2,2-Apr,United Kingdom,3,0,0,3
4,2,2-Apr,United States,72,0,0,72
4,2,2-Apr,Viet Nam,58,4,0,54
4,3,3-Apr,Australia,1,0,0,1
4,3,3-Apr,Belgium,1,0,0,1
4,3,3-Apr,Brazil,1,0,0,1
4,3,3-Apr,Canada,62,6,0,56
4,3,3-Apr,China,1924,63,0,1861
4,3,3-Apr,Taiwan,14,0,0,14
4,3,3-Apr,France,3,0,0,3
4,3,3-Apr,Germany,5,0,0,5
4,3,3-Apr,Italy,3,0,0,3
4,3,3-Apr,Republic of Ireland,1,0,0,1
4,3,3-Apr,Romania,1,0,0,1
4,3,3-Apr,Singapore,98,4,0,94
4,3,3-Apr,Switzerland,2,0,0,2
4,3,3-Apr,Thailand,7,2,0,5
4,3,3-Apr,United Kingdom,3,0,0,3
4,3,3-Apr,United States,85,0,0,85
4,3,3-Apr,Viet Nam,59,4,0,55
4,4,4-Apr,Australia,1,0,0,1
4,4,4-Apr,Belgium,1,0,0,1
4,4,4-Apr,Brazil,1,0,0,1
4,4,4-Apr,Canada,69,7,0,62
4,4,4-Apr,China,1981,66,0,1915
4,4,4-Apr,Taiwan,15,0,0,15
4,4,4-Apr,France,3,0,0,3
4,4,4-Apr,Germany,5,0,0,5
4,4,4-Apr,Italy,3,0,0,3
4,4,4-Apr,Republic of Ireland,1,0,0,1
4,4,4-Apr,Romania,1,0,0,1
4,4,4-Apr,Singapore,100,5,0,95
4,4,4-Apr,Spain,1,0,0,1
4,4,4-Apr,Switzerland,2,0,0,2
4,4,4-Apr,Thailand,7,2,0,5
4,4,4-Apr,United Kingdom,3,0,0,3
4,4,4-Apr,United States,100,0,0,100
4,4,4-Apr,Viet Nam,59,4,0,55
4,5,5-Apr,Australia,1,0,0,1
4,5,5-Apr,Belgium,1,0,0,1
4,5,5-Apr,Brazil,1,0,0,1
4,5,5-Apr,Canada,74,7,0,67
4,5,5-Apr,China,2020,69,0,1951
4,5,5-Apr,Taiwan,17,0,0,17
4,5,5-Apr,France,3,0,0,3
4,5,5-Apr,Germany,5,0,0,5
4,5,5-Apr,Italy,3,0,0,3
4,5,5-Apr,Malaysia,1,1,0,0
4,5,5-Apr,Republic of Ireland,1,0,0,1
4,5,5-Apr,Romania,1,0,0,1
4,5,5-Apr,Singapore,101,6,0,95
4,5,5-Apr,Spain,1,0,0,1
4,5,5-Apr,Switzerland,1,0,0,1
4,5,5-Apr,Thailand,7,2,0,5
4,5,5-Apr,United Kingdom,4,0,0,4
4,5,5-Apr,United States,115,0,0,115
4,5,5-Apr,Viet Nam,59,4,0,55
4,6,6-Apr,Australia,1,0,0,1
4,6,6-Apr,Belgium,1,0,0,1
4,6,6-Apr,Brazil,1,0,0,1
4,6,6-Apr,Canada,74,7,0,67
4,6,6-Apr,China,2020,69,0,1951
4,6,6-Apr,Taiwan,17,0,0,17
4,6,6-Apr,France,3,0,0,3
4,6,6-Apr,Germany,5,0,0,5
4,6,6-Apr,Italy,3,0,0,3
4,6,6-Apr,Malaysia,1,1,0,0
4,6,6-Apr,Republic of Ireland,1,0,0,1
4,6,6-Apr,Romania,1,0,0,1
4,6,6-Apr,Singapore,101,6,0,95
4,6,6-Apr,Spain,1,0,0,1
4,6,6-Apr,Switzerland,1,0,0,1
4,6,6-Apr,Thailand,7,2,0,5
4,6,6-Apr,United Kingdom,4,0,0,4
4,6,6-Apr,United States,115,0,0,115
4,6,6-Apr,Viet Nam,59,4,0,55
4,7,7-Apr,Australia,1,0,0,1
4,7,7-Apr,Brazil,1,0,0,1
4,7,7-Apr,Canada,90,9,0,81
4,7,7-Apr,China,2151,76,0,2075
4,7,7-Apr,Taiwan,21,0,0,21
4,7,7-Apr,France,3,0,0,3
4,7,7-Apr,Germany,5,0,0,5
4,7,7-Apr,Italy,3,0,0,3
4,7,7-Apr,Malaysia,1,1,0,0
4,7,7-Apr,Republic of Ireland,1,0,0,1
4,7,7-Apr,Romania,1,0,0,1
4,7,7-Apr,Singapore,106,6,0,100
4,7,7-Apr,Spain,1,0,0,1
4,7,7-Apr,Switzerland,1,0,0,1
4,7,7-Apr,Thailand,7,2,0,5
4,7,7-Apr,United Kingdom,5,0,0,5
4,7,7-Apr,United States,141,0,0,141
4,7,7-Apr,Viet Nam,62,4,0,58
4,8,8-Apr,Australia,1,0,0,1
4,8,8-Apr,Brazil,1,0,0,1
4,8,8-Apr,Canada,91,10,0,81
4,8,8-Apr,China,2207,78,0,2129
4,8,8-Apr,Taiwan,19,0,0,19
4,8,8-Apr,France,4,0,0,4
4,8,8-Apr,Germany,5,0,0,5
4,8,8-Apr,Italy,3,0,0,3
4,8,8-Apr,Malaysia,1,1,0,0
4,8,8-Apr,Republic of Ireland,1,0,0,1
4,8,8-Apr,Romania,1,0,0,1
4,8,8-Apr,Singapore,113,8,0,105
4,8,8-Apr,Spain,1,0,0,1
4,8,8-Apr,Switzerland,1,0,0,1
4,8,8-Apr,Thailand,7,2,0,5
4,8,8-Apr,United Kingdom,5,0,0,5
4,8,8-Apr,United States,148,0,0,148
4,8,8-Apr,Viet Nam,62,4,0,58
4,9,9-Apr,Brazil,1,0,0,1
4,9,9-Apr,Canada,94,10,0,84
4,9,9-Apr,China,2250,80,0,2170
4,9,9-Apr,Taiwan,19,0,0,19
4,9,9-Apr,France,4,0,0,4
4,9,9-Apr,Germany,5,0,0,5
4,9,9-Apr,Italy,3,0,0,3
4,9,9-Apr,Malaysia,1,1,0,0
4,9,9-Apr,Republic of Ireland,1,0,0,1
4,9,9-Apr,Romania,1,0,0,1
4,9,9-Apr,Singapore,118,9,0,109
4,9,9-Apr,Spain,1,0,0,1
4,9,9-Apr,Switzerland,1,0,0,1
4,9,9-Apr,Thailand,7,2,0,5
4,9,9-Apr,United Kingdom,5,0,0,5
4,9,9-Apr,United States,149,0,0,149
4,9,9-Apr,Viet Nam,62,4,0,58
4,10,10-Apr,Brazil,2,0,0,2
4,10,10-Apr,Canada,97,10,22,65
4,10,10-Apr,China,2288,85,1179,1024
4,10,10-Apr,Taiwan,19,0,5,14
4,10,10-Apr,France,4,0,0,4
4,10,10-Apr,Germany,6,0,2,4
4,10,10-Apr,Italy,3,0,1,2
4,10,10-Apr,Kuwait,1,0,0,1
4,10,10-Apr,Malaysia,3,1,0,2
4,10,10-Apr,Republic of Ireland,1,0,1,0
4,10,10-Apr,Romania,1,0,0,1
4,10,10-Apr,Singapore,126,9,75,42
4,10,10-Apr,Spain,1,0,0,1
4,10,10-Apr,Switzerland,1,0,1,0
4,10,10-Apr,Thailand,7,2,5,0
4,10,10-Apr,United Kingdom,5,0,3,2
4,10,10-Apr,United States,154,0,0,154
4,10,10-Apr,Viet Nam,62,4,43,15
4,11,11-Apr,Brazil,2,0,0,2
4,11,11-Apr,Canada,98,10,25,63
4,11,11-Apr,China,2368,90,1206,1072
4,11,11-Apr,Taiwan,21,0,6,15
4,11,11-Apr,France,5,0,0,5
4,11,11-Apr,Germany,6,0,4,2
4,11,11-Apr,Italy,3,0,2,1
4,11,11-Apr,Japan,4,0,0,4
4,11,11-Apr,Kuwait,1,0,0,1
4,11,11-Apr,Malaysia,4,1,0,3
4,11,11-Apr,Republic of Ireland,1,0,1,0
