date,country,CumulativeCase,DeadCase,RecoveredCase,CurrentCase
3/28,Romania,3,0,0,3
3/28,Republic of Korea,0,0,0,0
3/28,Republic of Ireland,2,0,0,2
3/28,Poland,0,0,0,0
3/28,Philippines,0,0,0,0
3/28,Mongolia,0,0,0,0
3/28,Malaysia,0,0,0,0
3/28,Kuwait,0,0,0,0
3/28,Japan,0,0,0,0
3/28,Italy,2,0,0,2
3/28,Indonesia,0,0,0,0
3/28,India,0,0,0,0
3/28,Germany,4,0,0,4
3/28,France,1,0,0,1
3/28,Finland,0,0,0,0
3/28,Colombia,0,0,0,0
3/28,China,1231,44,0,1187
3/28,Canada,29,3,0,26
3/28,Bulgaria,0,0,0,0
3/28,Brazil,0,0,0,0
3/28,Belgium,0,0,0,0
3/28,Australia,0,0,0,0
3/29,United States,59,0,0,59
3/29,Australia,0,0,0,0
3/29,Belgium,0,0,0,0
3/29,Brazil,0,0,0,0
3/29,Bulgaria,0,0,0,0
3/29,Canada,37,3,0,34
3/29,China,1276,44,0,1232
3/29,Colombia,0,0,0,0
3/29,Finland,0,0,0,0
3/29,France,1,0,0,1
3/29,Germany,4,0,0,4
3/29,India,0,0,0,0
3/29,Indonesia,0,0,0,0
3/29,Italy,2,0,0,2
3/29,Japan,0,0,0,0
3/29,Kuwait,0,0,0,0
3/29,Malaysia,0,0,0,0
3/29,Mongolia,0,0,0,0
3/29,New Zealand,0,0,0,0
3/29,Philippines,0,0,0,0
3/29,Poland,0,0,0,0
3/29,Republic of Ireland,2,0,0,2
3/29,Republic of Korea,0,0,0,0
3/29,Romania,3,0,0,3
3/29,Russian Federation,0,0,0,0
3/29,Singapore,89,2,0,87
3/29,Slovenia,0,0,0,0
3/29,South Africa,0,0,0,0
3/29,Spain,0,0,0,0
3/29,Sweden,0,0,0,0
3/29,Switzerland,3,0,0,3
3/29,Taiwan,10,0,0,10
3/29,Thailand,3,1,0,2
3/29,United Kingdom,3,0,0,3
3/29,Viet Nam,58,4,0,54
3/30,Viet Nam,58,4,0,54
3/30,Australia,0,0,0,0
3/30,Belgium,0,0,0,0
3/30,Brazil,0,0,0,0
3/30,Bulgaria,0,0,0,0
3/30,Canada,37,3,0,34
3/30,China,1276,44,0,1232
3/30,Colombia,0,0,0,0
3/30,Finland,0,0,0,0
3/30,France,1,0,0,1
3/30,Germany,4,0,0,4
3/30,India,0,0,0,0
3/30,Indonesia,0,0,0,0
3/30,Italy,2,0,0,2
3/30,Japan,0,0,0,0
3/30,Kuwait,0,0,0,0
3/30,Malaysia,0,0,0,0
3/30,Mongolia,0,0,0,0
3/30,New Zealand,0,0,0,0
3/30,Philippines,0,0,0,0
3/30,Poland,0,0,0,0
3/30,Republic of Ireland,2,0,0,2
3/30,Republic of Korea,0,0,0,0
3/30,Romania,3,0,0,3
3/30,Russian Federation,0,0,0,0
3/30,Singapore,89,2,0,87
3/30,Slovenia,0,0,0,0
3/30,South Africa,0,0,0,0
3/30,Spain,0,0,0,0
