date	country	value	key
3/20	Spain	0	RecoveredCase
3/20	Sweden	0	DeadCase
3/20	Sweden	0	CurrentCase
3/20	Sweden	0	RecoveredCase
3/20	Switzerland	0	DeadCase
3/20	Switzerland	7	CurrentCase
3/20	Switzerland	0	RecoveredCase
3/20	Taiwan	0	DeadCase
3/20	Taiwan	4	CurrentCase
3/20	Taiwan	0	RecoveredCase
3/20	Thailand	0	DeadCase
3/20	Thailand	1	CurrentCase
3/20	Thailand	0	RecoveredCase
3/20	United Kingdom	0	DeadCase
3/20	United Kingdom	2	CurrentCase
3/20	United Kingdom	0	RecoveredCase
3/20	United States	0	DeadCase
3/20	United States	11	CurrentCase
3/20	United States	0	RecoveredCase
3/21	United States	0	DeadCase
3/21	United States	13	CurrentCase
3/21	United States	0	RecoveredCase
3/21	Brazil	0	DeadCase
3/21	Brazil	0	CurrentCase
3/21	Brazil	0	RecoveredCase
3/21	Australia	0	DeadCase
3/21	Australia	0	CurrentCase
3/21	Australia	0	RecoveredCase
3/21	Viet Nam	2	DeadCase
3/21	Viet Nam	60	CurrentCase
3/21	Viet Nam	0	RecoveredCase
3/21	Bulgaria	0	DeadCase
3/21	Bulgaria	0	CurrentCase
3/21	Bulgaria	0	RecoveredCase
3/21	Canada	2	DeadCase
3/21	Canada	7	CurrentCase
3/21	Canada	0	RecoveredCase
3/21	China	6	DeadCase
3/21	China	197	CurrentCase
3/21	China	0	RecoveredCase
3/21	Colombia	0	DeadCase
3/21	Colombia	0	CurrentCase
3/21	Colombia	0	RecoveredCase
3/21	Finland	0	DeadCase
3/21	Finland	0	CurrentCase
3/21	Finland	0	RecoveredCase
3/21	France	0	DeadCase
3/21	France	0	CurrentCase
3/21	France	0	RecoveredCase
3/21	Germany	0	DeadCase
3/21	Germany	1	CurrentCase
3/21	Germany	0	RecoveredCase
3/21	India	0	DeadCase
3/21	India	0	CurrentCase
3/21	India	0	RecoveredCase
3/21	Indonesia	0	DeadCase
3/21	Indonesia	0	CurrentCase
3/21	Indonesia	0	RecoveredCase
3/21	Italy	0	DeadCase
3/21	Italy	1	CurrentCase
3/21	Italy	0	RecoveredCase
3/21	Japan	0	DeadCase
3/21	Japan	0	CurrentCase
3/21	Japan	0	RecoveredCase
3/21	Kuwait	0	DeadCase
3/21	Kuwait	0	CurrentCase
3/21	Kuwait	0	RecoveredCase
3/21	Malaysia	0	DeadCase
3/21	Malaysia	0	CurrentCase
3/21	Malaysia	0	RecoveredCase
3/21	Mongolia	0	DeadCase
3/21	Mongolia	0	CurrentCase
3/21	Mongolia	0	RecoveredCase
3/21	New Zealand	0	DeadCase
3/21	New Zealand	0	CurrentCase
3/21	New Zealand	0	RecoveredCase
3/21	Philippines	0	DeadCase
3/21	Philippines	0	CurrentCase
3/21	Philippines	0	RecoveredCase
3/21	Poland	0	DeadCase
3/21	Poland	0	CurrentCase
3/21	Poland	0	RecoveredCase
3/21	Republic of Ireland	0	DeadCase
3/21	Republic of Ireland	1	CurrentCase
3/21	Republic of Ireland	0	RecoveredCase
3/21	Republic of Korea	0	DeadCase
3/21	Republic of Korea	0	CurrentCase
3/21	Republic of Korea	0	RecoveredCase
3/21	Romania	0	DeadCase
3/21	Romania	0	CurrentCase
3/21	Romania	0	RecoveredCase
3/21	Russian Federation	0	DeadCase
3/21	Russian Federation	0	CurrentCase
3/21	Russian Federation	0	RecoveredCase
3/21	Singapore	0	DeadCase
3/21	Singapore	39	CurrentCase
3/21	Singapore	0	RecoveredCase
3/21	Slovenia	0	DeadCase
3/21	Slovenia	1	CurrentCase
3/21	Slovenia	0	RecoveredCase
3/21	South Africa	0	DeadCase
